Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
M211,Sham,Sham-1,21361,NK001-4,1,0,10843
M211,Sham,Sham-1,21361,NK001-6,0,0,1478
M211,Sham,Sham-1,21361,NK001-6,1,0,1191
M211,Sham,Sham-1,21361,NK003-2,0,0,2228
M211,Sham,Sham-1,21361,NK003-2,1,0,1929
M211,Sham,Sham-1,21361,NK003-3,0,0,4057
M211,Sham,Sham-1,21361,NK003-3,1,0,3695
M211,Sham,Sham-1,21361,NK004-2,0,0,2842
M211,Sham,Sham-1,21361,NK004-2,1,0,2200
M211,Sham,Sham-1,21361,NK004-3,0,1,70
M211,Sham,Sham-1,21361,NK004-3,1,1,64
M211,Sham,Sham-1,21361,NK008-3,0,0,1073
M211,Sham,Sham-1,21361,NK008-3,1,0,716
M211,Sham,Sham-1,21361,NK008-4,0,0,657
M211,Sham,Sham-1,21361,NK008-4,1,0,532
M211,Sham,Sham-1,21361,NK008-5,0,0,892
M211,Sham,Sham-1,21361,NK008-5,1,0,881
M211,Sham,Sham-1,21361,NK009-2,0,0,3120
M211,Sham,Sham-1,21361,NK009-2,1,0,1962
M211,Sham,Sham-1,21361,NK009-3,0,0,6175
M211,Sham,Sham-1,21361,NK009-3,1,0,8298
M211,Sham,Sham-1,21361,NK009-4,0,0,2388
M211,Sham,Sham-1,21361,NK009-4,1,0,2882
M211,Sham,Sham-1,21361,NK010-2,0,0,793
M211,Sham,Sham-1,21361,NK010-2,1,0,675
M211,Sham,Sham-1,21361,NK010-3,0,0,3430
M211,Sham,Sham-1,21361,NK010-3,1,0,3845
M211,Sham,Sham-1,21361,NK018-3,0,0,982
M211,Sham,Sham-1,21361,NK018-3,1,0,1362
M211,Sham,Sham-1,21361,NK019-3,0,0,12449
M211,Sham,Sham-1,21361,NK019-3,1,0,14116
M211,Sham,Sham-1,21361,NK020-1,0,0,1573
M211,Sham,Sham-1,21361,NK020-1,1,1,1616
M211,Sham,Sham-1,21361,NK021-1,0,0,1047
M211,Sham,Sham-1,21361,NK021-1,1,0,1011
M211,Sham,Sham-1,21361,NK021-2,0,0,174
M211,Sham,Sham-1,21361,NK021-2,1,0,68
M211,Sham,Sham-1,21361,NK022,0,0,2612
M211,Sham,Sham-1,21361,NK022,1,0,3739
M211,Sham,Sham-1,21361,NK022-2,0,0,8167
M211,Sham,Sham-1,21361,NK022-2,1,0,5919
M211,Sham,Sham-1,21361,NK024-2,0,0,3835
M211,Sham,Sham-1,21361,NK024-2,1,0,3122
M211,Sham,Sham-1,21361,NK025-4,0,0,767
M211,Sham,Sham-1,21361,NK025-4,1,0,805
M211,Sham,Sham-1,21361,NK025-7,0,0,7210
M211,Sham,Sham-1,21361,NK025-7,1,0,6239
M211,Sham,Sham-1,21361,NK028-2,0,0,155
M211,Sham,Sham-1,21361,NK028-2,1,0,562
M211,Sham,Sham-1,21361,NK030-1,0,0,1613
M211,Sham,Sham-1,21361,NK030-1,1,0,1632
M211,Sham,Sham-1,21361,NK031-4,0,0,1408
M211,Sham,Sham-1,21361,NK031-4,1,0,1289
M211,Sham,Sham-1,21361,NK033-2,0,0,12087
M211,Sham,Sham-1,21361,NK033-2,1,0,11349
M211,Sham,Sham-1,21361,NK033-3,0,0,27844
M211,Sham,Sham-1,21361,NK033-3,1,0,27362
M211,Sham,Sham-1,21361,NK041-2,0,0,1882
M211,Sham,Sham-1,21361,NK041-2,1,0,2520
M211,Sham,Sham-1,21361,NK042-1,0,0,3811
M211,Sham,Sham-1,21361,NK042-1,1,0,3159
M211,Sham,Sham-1,21361,NK042-2,0,0,2095
M211,Sham,Sham-1,21361,NK042-2,1,0,2170
M211,Sham,Sham-1,21361,NK048-4,0,0,2359
M211,Sham,Sham-1,21361,NK048-4,1,0,1493
M211,Sham,Sham-1,21361,NK048-4,2,0,2277
M211,Sham,Sham-1,21361,NK048-4,3,0,2012
